Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,38.944135122925694,33.107304172239445,32.627943564152375
10,32.81908079829529,26.179297516311426,24.342576731806215
15,24.303198960575745,20.274832490561664,18.507460870604586
20,20.00098639161047,12.564064668572467,16.55300860474075
25,20.33490976277929,13.743002622023873,17.536492361538652
30,17.157269255088195,13.141343082206836,18.01709922845813
35,17.19088017679479,12.251648356949074,17.640862119370613
40,17.053554019788756,14.824264339778734,18.08772319296132
45,14.191038545900888,16.91992071400518,17.979573056317758
50,17.1530005670812,12.483065466949904,14.891098174495973
55,12.611013151433346,11.980688903642738,17.60056157043015
60,15.047372623081625,13.607538776121277,17.683577924534895
65,13.061423879470269,13.039093757021254,17.435599271801934
70,12.303567225045532,12.148417735445326,14.703269336534584
75,12.823514388425506,16.988096016040746,15.136602194412895
80,12.283096021109253,14.105748632679814,16.93000078892362
85,12.326805678597331,15.075176743493564,17.839710415273473
90,11.969759558239122,12.025614164877629,14.139400454535
