trial_id,Val_loss,epoch,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/batch_size,config/epochs,config/loss_function,config/lr0,config/patience,config/factor,config/minlr,config/betas,config/eps,config/weight_decay,config/amsgrad,config/dim,config/bias,config/n_conv
182dc_00000,26.15741707039644,1000.0,0.5690398216247559,True,1000.0,2023-06-29_01-25-24,1687998324.0,571.6171929836273,23256.0,storm.cs.nott.ac.uk,10.148.136.74,571.6171929836273,1000.0,"0_amsgrad=False,batch_size=64,bias=True,dim=16,eps=0.0000,lr0=0.1000,n_conv=1",64.0,1500.0,MSELoss(),0.1,0.0,0.5,1e-08,"(0.9, 0.999)",1e-08,0.0,False,16.0,True,1.0
182dc_00001,23.207895774806882,1000.0,0.595118522644043,True,1000.0,2023-06-29_01-36-02,1687998962.0,629.8153812885284,29535.0,storm.cs.nott.ac.uk,10.148.136.74,629.8153812885284,1000.0,"1_amsgrad=False,batch_size=32,bias=True,dim=32,eps=0.0000,lr0=0.1000,n_conv=1",32.0,1500.0,MSELoss(),0.1,0.0,0.5,1e-08,"(0.9, 0.999)",1e-08,0.0,False,32.0,True,1.0
182dc_00002,34.93150835339813,60.0,0.7824766635894775,True,60.0,2023-06-29_01-37-14,1687999034.0,64.04470014572144,4110.0,storm.cs.nott.ac.uk,10.148.136.74,64.04470014572144,60.0,"2_amsgrad=False,batch_size=16,bias=False,dim=64,eps=0.0000,lr0=0.1000,n_conv=1",16.0,1500.0,MSELoss(),0.1,0.0,0.5,1e-08,"(0.9, 0.999)",1e-08,0.0,False,64.0,False,1.0
182dc_00003,35.185151390242446,60.0,0.6092686653137207,True,60.0,2023-06-29_01-38-17,1687999097.0,56.72348928451538,4913.0,storm.cs.nott.ac.uk,10.148.136.74,56.72348928451538,60.0,"3_amsgrad=False,batch_size=32,bias=True,dim=128,eps=0.0000,lr0=0.1000,n_conv=1",32.0,1500.0,MSELoss(),0.1,0.0,0.5,1e-08,"(0.9, 0.999)",1e-08,0.0,False,128.0,True,1.0
182dc_00004,39.173504077620066,15.0,0.5765554904937744,True,15.0,2023-06-29_01-38-52,1687999132.0,27.862832069396973,5654.0,storm.cs.nott.ac.uk,10.148.136.74,27.862832069396973,15.0,"4_amsgrad=False,batch_size=64,bias=False,dim=256,eps=0.0000,lr0=0.1000,n_conv=1",64.0,1500.0,MSELoss(),0.1,0.0,0.5,1e-08,"(0.9, 0.999)",1e-08,0.0,False,256.0,False,1.0
182dc_00005,38.374253867278746,15.0,0.593299150466919,True,15.0,2023-06-29_01-39-26,1687999166.0,27.55831742286682,6102.0,storm.cs.nott.ac.uk,10.148.136.74,27.55831742286682,15.0,"5_amsgrad=False,batch_size=64,bias=False,dim=16,eps=0.0000,lr0=0.1000,n_conv=1",64.0,1500.0,MSELoss(),0.1,0.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,16.0,False,1.0
182dc_00006,38.50017073263333,15.0,0.6089324951171875,True,15.0,2023-06-29_01-40-01,1687999201.0,28.77833843231201,6512.0,storm.cs.nott.ac.uk,10.148.136.74,28.77833843231201,15.0,"6_amsgrad=False,batch_size=32,bias=True,dim=32,eps=0.0000,lr0=0.1000,n_conv=1",32.0,1500.0,MSELoss(),0.1,0.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,32.0,True,1.0
182dc_00007,37.91815685558325,15.0,0.6220924854278564,True,15.0,2023-06-29_01-40-35,1687999235.0,28.684292793273926,6965.0,storm.cs.nott.ac.uk,10.148.136.74,28.684292793273926,15.0,"7_amsgrad=False,batch_size=32,bias=True,dim=64,eps=0.0000,lr0=0.1000,n_conv=1",32.0,1500.0,MSELoss(),0.1,0.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,64.0,True,1.0
182dc_00008,33.7167296037373,60.0,0.6084508895874023,True,60.0,2023-06-29_01-41-38,1687999298.0,56.112475633621216,7412.0,storm.cs.nott.ac.uk,10.148.136.74,56.112475633621216,60.0,"8_amsgrad=False,batch_size=32,bias=False,dim=128,eps=0.0000,lr0=0.1000,n_conv=1",32.0,1500.0,MSELoss(),0.1,0.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,128.0,False,1.0
182dc_00009,38.1606459413877,15.0,0.7521786689758301,True,15.0,2023-06-29_01-42-15,1687999335.0,30.53150725364685,8155.0,storm.cs.nott.ac.uk,10.148.136.74,30.53150725364685,15.0,"9_amsgrad=False,batch_size=16,bias=True,dim=256,eps=0.0000,lr0=0.1000,n_conv=1",16.0,1500.0,MSELoss(),0.1,0.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,256.0,True,1.0
182dc_00010,37.81530536384084,15.0,0.6295959949493408,True,15.0,2023-06-29_01-42-50,1687999370.0,28.84487009048462,8628.0,storm.cs.nott.ac.uk,10.148.136.74,28.84487009048462,15.0,"10_amsgrad=False,batch_size=32,bias=True,dim=16,eps=0.0000,lr0=0.0500,n_conv=1",32.0,1500.0,MSELoss(),0.05,0.0,0.5,1e-08,"(0.9, 0.999)",1e-08,0.0,False,16.0,True,1.0
182dc_00011,37.73508910548677,15.0,0.6026318073272705,True,15.0,2023-06-29_01-43-25,1687999405.0,28.682941436767578,9034.0,storm.cs.nott.ac.uk,10.148.136.74,28.682941436767578,15.0,"11_amsgrad=False,batch_size=32,bias=False,dim=32,eps=0.0000,lr0=0.0500,n_conv=1",32.0,1500.0,MSELoss(),0.05,0.0,0.5,1e-08,"(0.9, 0.999)",1e-08,0.0,False,32.0,False,1.0
182dc_00012,37.984772867709516,15.0,0.5864231586456299,True,15.0,2023-06-29_01-43-59,1687999439.0,27.981251001358032,9517.0,storm.cs.nott.ac.uk,10.148.136.74,27.981251001358032,15.0,"12_amsgrad=False,batch_size=64,bias=True,dim=64,eps=0.0000,lr0=0.0500,n_conv=1",64.0,1500.0,MSELoss(),0.05,0.0,0.5,1e-08,"(0.9, 0.999)",1e-08,0.0,False,64.0,True,1.0
182dc_00013,23.370103480636597,1000.0,0.6334819793701172,True,1000.0,2023-06-29_01-54-35,1688000075.0,628.8085670471191,9956.0,storm.cs.nott.ac.uk,10.148.136.74,628.8085670471191,1000.0,"13_amsgrad=False,batch_size=32,bias=False,dim=128,eps=0.0000,lr0=0.0500,n_conv=1",32.0,1500.0,MSELoss(),0.05,0.0,0.5,1e-08,"(0.9, 0.999)",1e-08,0.0,False,128.0,False,1.0
182dc_00014,39.267363745910785,15.0,0.6337213516235352,True,15.0,2023-06-29_01-55-12,1688000112.0,28.721347093582153,16498.0,storm.cs.nott.ac.uk,10.148.136.74,28.721347093582153,15.0,"14_amsgrad=False,batch_size=32,bias=False,dim=256,eps=0.0000,lr0=0.0500,n_conv=1",32.0,1500.0,MSELoss(),0.05,0.0,0.5,1e-08,"(0.9, 0.999)",1e-08,0.0,False,256.0,False,1.0
182dc_00015,33.12775488254865,60.0,0.7317183017730713,True,60.0,2023-06-29_01-56-21,1688000181.0,63.349831104278564,16969.0,storm.cs.nott.ac.uk,10.148.136.74,63.349831104278564,60.0,"15_amsgrad=False,batch_size=16,bias=False,dim=16,eps=0.0000,lr0=0.0500,n_conv=1",16.0,1500.0,MSELoss(),0.05,0.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,16.0,False,1.0
182dc_00016,37.76528888481982,15.0,0.5942785739898682,True,15.0,2023-06-29_01-56-55,1688000215.0,28.4632670879364,17744.0,storm.cs.nott.ac.uk,10.148.136.74,28.4632670879364,15.0,"16_amsgrad=False,batch_size=32,bias=True,dim=32,eps=0.0000,lr0=0.0500,n_conv=1",32.0,1500.0,MSELoss(),0.05,0.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,32.0,True,1.0
182dc_00017,37.986228676362124,15.0,0.5501718521118164,True,15.0,2023-06-29_01-57-29,1688000249.0,27.84074568748474,18223.0,storm.cs.nott.ac.uk,10.148.136.74,27.84074568748474,15.0,"17_amsgrad=False,batch_size=64,bias=False,dim=64,eps=0.0000,lr0=0.0500,n_conv=1",64.0,1500.0,MSELoss(),0.05,0.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,64.0,False,1.0
182dc_00018,24.331689387899125,960.0,0.7375624179840088,True,960.0,2023-06-29_02-09-54,1688000994.0,738.3523602485657,18649.0,storm.cs.nott.ac.uk,10.148.136.74,738.3523602485657,960.0,"18_amsgrad=False,batch_size=16,bias=True,dim=128,eps=0.0000,lr0=0.0500,n_conv=1",16.0,1500.0,MSELoss(),0.05,0.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,128.0,True,1.0
