,Reaction_original_index,substrate,substrate_id,boronreagent,boronreagent_id,ligand,ligand_id,axial_chirality,yield,%top
0,1,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,99.0,99.0
1,2,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,1.0
2,3,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,100.0,57.5
3,4,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,100.0,60.0
4,5,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,100.0,67.0
5,6,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,100.0,65.5
6,7,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,80.0,56.5
7,8,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,100.0,75.0
8,9,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,100.0,55.0
9,10,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,100.0,51.0
10,11,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,100.0,99.0
11,12,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,85.0,84.5
12,13,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,100.0,67.5
13,14,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,COC(C=CC=C1P(C2=CC=CO2)C3=CC=CO3)=C1C4=C(P(C5=CC=CO5)C6=CC=CO6)C=CC=C4OC,L1.37,R,100.0,58.5
14,15,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,COC(C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)=C1C4=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C4OC,L1.38,R,100.0,99.0
15,16,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,CC1(C)O[C@@H](CP(C2=CC=CC=C2)C3=CC=CC=C3)[C@H](CP(C4=CC=CC=C4)C5=CC=CC=C5)O1,L1.56,NoChiralAxis,100.0,63.0
16,17,O=C1C=CCCC1,0,F[B-](F)(F)c1ccccc1.[K+],1,COC(C=C1)=CC=C1[P@@](C2=CC=CC=C2)CC[P@](C3=CC=CC=C3)C4=CC=C(OC)C=C4,L1.58,NoChiralAxis,100.0,51.5
17,26,O=C1C=CCCC1,0,c1ccc(B2[C@H]3CCC[C@@H]2CCC3)cc1,2,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,81.0,1.0
18,31,O=C1C=CCCC1,0,COC.[B]=O.[Li]C.[O]c1ccccc1,5,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,0.5
19,32,O=C1C=CCCC1,0,COC.[B]=O.[Li]C.[O]c1ccccc1,5,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,71.0,0.5
20,33,O=C1C=CCCC1,0,Cc1ccccc1B(O)O,6,[C@H]1(C2=CC=CC=C2)C(CP(C3=CC=CC=C3)C4=CC=CC=C4)([C@H]1C5=CC=CC=C5)CP(C6=CC=CC=C6)C7=CC=CC=C7,L1.103,NoChiralAxis,58.0,18.5
21,34,O=C1C=CCCC1,0,Cc1ccccc1B(O)O,6,[C@H]1(C2=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=C2)C(CP(C5=CC=CC=C5)C6=CC=CC=C6)([C@H]1C7=CC(C8=CC=CC=C8)=CC(C9=CC=CC=C9)=C7)CP(C%10=CC=CC=C%10)C%11=CC=CC=C%11,L1.104,NoChiralAxis,58.0,18.5
22,44,CC(=O)/C=C/[Si](C)(C)c1ccccc1,2,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,82.0,14.0
23,69,O=C1C=CCC1,6,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,93.0,98.5
24,72,O=C1C=CCC1,6,OB(O)c1ccccc1,7,C1(P2OC(C=CC3=C4C=CC=C3)=C4C(C(C=CC=C5)=C5C=C6)=C6O2)=CC=CC=C1P7OC8=CC=C9C(C=CC=C9)=C8C%10=C%11C(C=CC=C%11)=CC=C%10O7,L1.95,R,58.0,94.5
25,73,O=C1C=CCC1,6,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC3=C2C4=C(C=CC=C5)C5=CC=C4OP(CCP6OC7=CC=C8C(C=CC=C8)=C7C9=C(O6)C=CC%10=C9C=CC=C%10)O3,L1.97,R,63.0,91.0
26,90,O=C1C=CCC1,6,OB(O)c1ccccc1,7,[C@H]1(P(C2=CC=CC=C2)C3=CC=CC=C3)C[C@H]4[C@@H](P(C5=CC=CC=C5)C6=CC=CC=C6)C[C@@H]1C4,L1.67,NoChiralAxis,96.0,8.5
27,91,O=C1C=CCC1,6,OB(O)c1ccccc1,7,C12=CC=C3C(C(C4=C(C=C(OCCOCCO2)C=C5)C5=CC=C4P(C6=CC=CC=C6)C7=CC=CC=C7)=C(P(C8=CC=CC=C8)C9=CC=CC=C9)C=C3)=C1,L1.12,R,90.0,5.0
28,103,O=C1C=CCC1,6,OB(O)c1ccccc1,7,CC([P@@](C#CC1=CC=CC=C1)CC[P@](C#CC2=CC=CC=C2)C(C)(C)C)(C)C,L1.72,NoChiralAxis,90.0,4.5
29,104,O=C1C=CCC1,6,OB(O)c1ccccc1,7,CC([P@@](C#CC)CC[P@](C#CC)C(C)(C)C)(C)C,L1.70,NoChiralAxis,92.0,3.5
30,105,O=C1C=CCC1,6,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,78.0,97.5
31,118,O=C1C=CCC1,6,OB(O)c1ccccc1,7,[C@H]1(C2=CC=CC=C2)C(CP(C3=CC=CC=C3)C4=CC=CC=C4)([C@H]1C5=CC=CC=C5)CP(C6=CC=CC=C6)C7=CC=CC=C7,L1.103,NoChiralAxis,68.0,52.5
32,119,O=C1C=CCC1,6,OB(O)c1ccccc1,7,[C@H]1(C2=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=C2)C(CP(C5=CC=CC=C5)C6=CC=CC=C6)([C@H]1C7=CC(C8=CC=CC=C8)=CC(C9=CC=CC=C9)=C7)CP(C%10=CC=CC=C%10)C%11=CC=CC=C%11,L1.104,NoChiralAxis,25.0,52.5
33,164,O=C1C=CCC1,6,OB(O)c1ccccc1,7,FC(C(C=C1)=CC=C1P(C2=CC=C(C(F)(F)F)C=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC=C(C(F)(F)F)C=C6)C7=CC=C(C(F)(F)F)C=C7)C8C(OCCO8)C=C3)(F)F,L1.32,R,69.0,6.0
34,165,O=C1C=CCC1,6,OB(O)c1ccccc1,7,FC(C1=CC(P(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)C7=CC(C(F)(F)F)=CC(C(F)(F)F)=C7)C8C(OCCO8)C=C3)=CC(C(F)(F)F)=C1)(F)F,L1.33,R,84.0,2.0
35,166,O=C1C=CCC1,6,OB(O)c1ccccc1,7,FC(O1)(F)OC2C1C(C3=C(OC(F)(F)O4)C4=CC=C3P(C5=CC=CC=C5)C6=CC=CC=C6)=C(P(C7=CC=CC=C7)C8=CC=CC=C8)C=C2,L1.28,R,41.0,0.5
36,167,O=C1C=CCC1,6,OB(O)c1ccccc1,7,FC(C(C=C1)=CC=C1P(C2=CC=C(C(F)(F)F)C=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC=C(C(F)(F)F)C=C6)C7=CC=C(C(F)(F)F)C=C7)C8C(OCCO8)C=C3)(F)F,L1.32,R,69.0,6.0
37,168,O=C1C=CCC1,6,OB(O)c1ccccc1,7,FC(C1=CC(P(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)C7=CC(C(F)(F)F)=CC(C(F)(F)F)=C7)C8C(OCCO8)C=C3)=CC(C(F)(F)F)=C1)(F)F,L1.33,R,84.0,2.0
38,169,O=C1C=CCC1,6,OB(O)c1ccccc1,7,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC(F)=C(F)C(F)=C6)C7=CC(F)=C(F)C(F)=C7)C8C(OCCO8)C=C3)=CC(F)=C1F,L1.34,R,77.0,1.5
39,191,O=C1C=CCC1,6,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,99.0,2.5
40,194,O=C1C=CCC1,6,F[B-](F)(F)c1ccccc1.[K+],1,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,98.5
41,198,O=C1C=CCC1,6,COc1ccccc1[B-](OC(C)C)(OC(C)C)OC(C)C.[Li+],15,CC([P@@](C)C1=NC2=CC=CC=C2N=C1[P@@](C(C)(C)C)C)(C)C,L1.68,NoChiralAxis,91.0,1.5
42,218,O=C1C=CCC1,6,Cc1ccc([B-](OC(C)C)(OC(C)C)OC(C)C)cc1.[Li+],19,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,95.0,96.5
43,220,O=C1C=CCC1,6,OB(O)c1ccc(C(F)(F)F)cc1,9,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,81.0,98.5
44,225,O=C1C=CCC1,6,OB(O)c1ccc(C(F)(F)F)cc1,9,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,96.5
45,226,O=C1C=CCC1,6,COc1ccc(B(O)O)cc1,10,CN(P1OC2=C(C3=C(O1)C=C(COCC4=CC(OP(N(C)C)O5)=C(C6=C5C=CC7=C6C=CC=C7)C8=C4C=CC=C8)C9=C3C=CC=C9)C%10=C(C=C2)C=CC=C%10)C,L1.90,R,99.0,2.0
46,227,O=C1C=CCC1,6,COc1ccc(B(O)O)cc1,10,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,75.0,98.0
47,233,O=C1C=CCC1,6,COc1ccc(B(O)O)cc1,10,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,84.0,96.0
48,238,O=C1C=CCC1,6,OB(O)c1ccc(Br)cc1,23,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,88.0,97.5
49,239,O=C1C=CCC1,6,OB(O)c1ccc(Br)cc1,23,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,85.0,98.5
50,240,O=C1C=CCC1,6,OB(O)c1ccc(Br)cc1,23,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,87.0,3.0
51,276,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,3.0,98.5
52,277,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,42.0,98.5
53,278,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,64.0,98.5
54,279,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,59.0,98.5
55,280,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,15.0,71.5
56,281,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,62.0,98.5
57,282,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,93.0,98.5
58,283,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,98.0
59,284,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,14.0,71.5
60,285,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,15.0,71.5
61,286,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,3.0,98.5
62,287,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,42.0,98.5
63,288,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,64.0,98.5
64,289,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,59.0,98.5
65,290,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,65.0,99.5
66,291,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,50.0,97.5
67,292,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,15.0,99.0
68,293,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,46.0,97.5
69,294,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,93.0,98.5
70,295,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,64.0,98.5
71,296,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,CC1(C)O[C@H](CP(C2=CC=CC=C2)C3=CC=CC=C3)[C@@H](CP(C4=CC=CC=C4)C5=CC=CC=C5)O1,L1.57,NoChiralAxis,30.0,62.0
72,297,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,72.0,70.0
73,303,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,98.5
74,304,O=C1C=CCCC1,0,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,24.0,99.0
