Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,0.935,0.022,0.669,0.055,8.81294841726431e-09,,Yes
2,0.971,0.014,0.67,0.041,1.756310381681464e-10,,Yes
3,0.923,0.017,0.678,0.024,9.702334373942549e-15,,Yes
4,0.917,0.032,0.775,0.065,3.099652559761995e-05,,Yes
5,0.971,0.019,0.612,0.069,1.335216948109636e-08,,Yes
6,0.943,0.016,0.638,0.057,9.603687790058691e-09,,Yes
7,0.952,0.014,0.661,0.04,1.722725707087954e-10,,Yes
8,0.957,0.017,0.69,0.028,9.78799239831373e-14,,Yes
9,0.994,0.011,0.617,0.031,5.430044435192934e-13,,Yes
10,0.944,0.019,0.708,0.038,1.4780745912123936e-10,,Yes
