Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,3.324,0.483,7.59,0.432,6.212623243765087e-14,,Yes
2,2.791,0.125,8.351,0.741,9.959277015724186e-10,,Yes
3,3.405,0.106,7.701,0.271,1.1856873687885656e-14,,Yes
4,3.151,0.434,6.719,0.506,2.502316683977558e-12,,Yes
5,2.723,0.344,9.033,0.602,4.5181350847828447e-14,,Yes
6,3.206,0.169,7.731,0.344,1.0699117804388334e-14,,Yes
7,2.984,0.288,7.758,0.449,1.1782127610047098e-14,,Yes
8,2.739,0.143,8.763,0.384,2.0999387303271433e-14,,Yes
9,2.187,0.263,8.754,0.538,2.977873916652269e-14,,Yes
10,2.258,0.131,7.77,0.524,1.533395598386688e-11,,Yes
