Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,0.942,0.002,0.651,0.064,1.602192435847762e-07,,Yes
2,0.988,0.023,0.668,0.053,4.710199100672274e-10,,Yes
3,0.905,0.021,0.626,0.027,4.702002354701582e-15,,Yes
4,0.975,0.046,0.777,0.09,2.8356569009100655e-05,,Yes
5,0.946,0.035,0.599,0.07,2.5303428523947924e-09,,Yes
6,0.9,0.024,0.625,0.055,4.212783352508933e-09,,Yes
7,0.94,0.037,0.672,0.045,3.7196510320628e-11,,Yes
8,0.953,0.017,0.707,0.042,9.564412775698802e-10,,Yes
9,1.0,0.0,0.586,0.035,3.4600943180657535e-11,,Yes
10,0.95,0.018,0.722,0.06,2.511793033728836e-07,,Yes
