Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,0.794,0.039,0.095,0.071,1.5932718455466074e-13,,Yes
2,0.854,0.022,0.034,0.064,3.8086765029077683e-13,,Yes
3,0.705,0.03,0.002,0.006,1.2670878622232794e-14,,Yes
4,0.797,0.067,0.198,0.099,4.005879967725088e-11,,Yes
5,0.874,0.028,0.0,0.0,5.702297196385406e-15,,Yes
6,0.785,0.016,0.008,0.022,1.3260420359162346e-23,,Yes
7,0.836,0.027,0.031,0.045,1.1417768061698426e-17,,Yes
8,0.897,0.011,0.051,0.059,1.7777112250697189e-12,,Yes
9,0.922,0.015,0.0,0.0,1.2843716237062856e-17,,Yes
10,0.92,0.008,0.058,0.069,1.3481879906758782e-11,,Yes
