Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,4.738,0.461,10.056,0.517,4.479682795175491e-15,,Yes
2,3.995,0.317,11.061,0.862,3.540829777745574e-11,,Yes
3,5.319,0.271,10.337,0.342,1.212141341623322e-17,,Yes
4,4.258,0.713,8.56,0.536,3.094342736667017e-11,,Yes
5,3.733,0.449,11.395,0.677,3.3300170060691867e-15,,Yes
6,4.432,0.162,9.866,0.279,5.412741379050223e-18,,Yes
7,3.955,0.317,9.858,0.422,3.833758769402413e-17,,Yes
8,3.546,0.191,10.949,0.588,6.707117018279884e-13,,Yes
9,2.845,0.27,11.092,0.462,1.7251446490192296e-17,,Yes
10,2.869,0.135,10.09,0.592,4.82021962368166e-12,,Yes
