Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,0.913,0.046,0.617,0.076,2.8256184571722514e-08,,Yes
2,0.95,0.018,0.568,0.068,6.857039516151786e-09,,Yes
3,0.932,0.023,0.759,0.045,5.311015957871734e-08,,Yes
4,0.846,0.068,0.729,0.061,0.0007667146243431642,,Yes
5,1.0,0.0,0.649,0.074,1.1284601226869727e-07,,Yes
6,0.994,0.017,0.649,0.07,2.98095926602808e-08,,Yes
7,0.965,0.025,0.597,0.07,5.412966906911537e-09,,Yes
8,0.959,0.022,0.626,0.046,2.8416554839677972e-11,,Yes
9,0.988,0.023,0.661,0.018,2.2141595934661703e-17,,Yes
10,0.932,0.044,0.63,0.026,1.3328880044741733e-11,,Yes
