Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,0.987,0.008,0.965,0.01,4.3255454552260705e-05,,Yes
2,0.975,0.014,0.972,0.008,0.5654686953012193,,No
3,0.997,0.006,0.987,0.008,0.005792430487071272,,Yes
4,0.997,0.006,0.972,0.021,0.004364157825936065,,Yes
5,0.988,0.009,0.978,0.01,0.030485635509348265,,Yes
6,0.982,0.012,0.97,0.014,0.05472481419269045,,No
7,0.983,0.005,0.963,0.016,0.003214852459000146,,Yes
8,0.998,0.005,0.995,0.007,0.28613405220682253,,No
9,0.992,0.01,0.985,0.0,0.054126890967410156,,No
10,0.975,0.024,0.953,0.013,0.02330671613120045,,Yes
