Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,2.197,0.172,2.355,0.113,0.027743739086281912,,Yes
2,2.152,0.227,2.323,0.113,0.05229291183931285,,No
3,1.553,0.245,1.73,0.164,0.07614853302663316,,No
4,2.078,0.091,2.104,0.234,0.7491140175035131,,No
5,1.819,0.148,2.057,0.166,0.0033539254464194633,,Yes
6,2.012,0.175,2.236,0.139,0.0055638563288312876,,Yes
7,1.597,0.074,2.062,0.214,4.239385361067509e-05,,Yes
8,1.81,0.168,1.63,0.098,0.010724839343414089,,Yes
9,1.984,0.163,2.041,0.119,0.38464795651847794,,No
10,2.167,0.324,2.305,0.188,0.26290702357496176,,No
