Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,0.903,0.022,0.86,0.025,0.0007183229866390671,,Yes
2,0.865,0.039,0.834,0.018,0.040440547332764164,,Yes
3,0.954,0.014,0.933,0.019,0.012182840163538721,,Yes
4,0.927,0.005,0.893,0.043,0.034134020997942396,,Yes
5,0.926,0.014,0.885,0.02,6.86949729053135e-05,,Yes
6,0.92,0.016,0.887,0.013,9.174825568095727e-05,,Yes
7,0.925,0.005,0.863,0.036,0.00038323380500227303,,Yes
8,0.943,0.013,0.945,0.01,0.7045958137683124,,No
9,0.923,0.014,0.875,0.016,1.31768663527779e-06,,Yes
10,0.857,0.041,0.816,0.036,0.028996453255484077,,Yes
