Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,2.977,0.339,3.591,0.312,0.00052833973086453,,Yes
2,3.286,0.471,3.679,0.198,0.031465636497979954,,Yes
3,2.087,0.318,2.515,0.363,0.011857943317880664,,Yes
4,2.663,0.094,3.171,0.604,0.026424636432222474,,Yes
5,2.482,0.234,3.092,0.26,3.213625876184176e-05,,Yes
6,2.667,0.255,3.179,0.178,8.501940304627034e-05,,Yes
7,2.508,0.09,3.376,0.422,8.936798033268539e-05,,Yes
8,2.296,0.246,2.261,0.203,0.7327443129301088,,No
9,2.5,0.216,3.198,0.209,8.16289266569319e-07,,Yes
10,3.254,0.485,3.715,0.362,0.02789188856226161,,Yes
