Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,0.972,0.018,0.969,0.0,0.6109041164924942,,No
2,0.976,0.019,0.972,0.01,0.5654120788645633,,No
3,0.993,0.012,0.98,0.014,0.03907515132732732,,Yes
4,1.0,0.0,0.994,0.012,0.14830470736655896,,No
5,0.981,0.014,0.987,0.02,0.4483069093238341,,No
6,0.99,0.014,0.974,0.022,0.07105071272720903,,No
7,0.971,0.0,0.968,0.016,0.567827913224695,,No
8,1.0,0.0,1.0,0.0,,,No
9,0.986,0.015,0.969,0.0,0.005894569649947358,,Yes
10,0.981,0.045,0.927,0.02,0.004432606397132241,,Yes
